PDB Name,cryptic pocket flag True,cryptic pocket flag predict,pred proba 0,pred proba 1,f1 score
1B6BA,1,1,0.7060528214591888,0.29394718058972097,75.67567567567566
1B6BA,1,1,0.7290863050923524,0.2709136969565573,75.67567567567566
1B6BA,1,1,0.6584283734165224,0.3415716295637099,75.67567567567566
1B6BA,0,0,0.7804708154981215,0.21952918748211073,75.67567567567566
1B6BA,0,0,0.8078818195030377,0.1921181805668115,75.67567567567566
1B6BA,0,1,0.49865757563029406,0.5013424348005187,75.67567567567566
1BNCB,1,0,0.5835490299169772,0.41645097678854537,75.67567567567566
1BNCB,0,1,0.24760601071606503,0.7523939894701995,75.67567567567566
1BSQA,1,1,0.43127270888162406,0.5687272940986083,75.67567567567566
1BSQA,0,1,0.696656762988491,0.3033432399917413,75.67567567567566
1E2XA,1,1,0.36750871021163106,0.6324912964938914,75.67567567567566
1E2XA,0,0,0.8656424746288582,0.13435753580195456,75.67567567567566
1JBUH,1,1,0.6664353806002329,0.33356461679206384,75.67567567567566
1JBUH,0,0,0.7862729887901279,0.21372701809001757,75.67567567567566
1JWPA,1,1,0.28555357150160265,0.7144464389292101,75.67567567567566
1JWPA,0,0,0.42586419364872274,0.5741358130567998,75.67567567567566
1KZ7D,1,1,0.3723316618545945,0.6276683411256376,75.67567567567566
1KZ7D,1,1,0.3856298631858166,0.6143701360691254,75.67567567567566
1KZ7D,0,1,0.7237646148598427,0.27623539335907904,75.67567567567566
1KZ7D,0,0,0.8881671986333082,0.11183280003955713,75.67567567567566
1MY0B,1,1,0.33710664838544174,0.6628933620453711,75.67567567567566
1MY0B,0,0,0.37023627104815937,0.6297637258784761,75.67567567567566
1Z92A,1,0,0.7724748422972244,0.22752516068300782,75.67567567567566
1Z92A,0,0,0.8195690380613773,0.18043097362090021,75.67567567567566
1ZAHB,1,1,0.48297583709564457,0.5170241658845875,75.67567567567566
1ZAHB,0,0,0.49358813059140977,0.5064118798394033,75.67567567567566
3FDLA,1,1,0.5135725413854262,0.4864274727706769,75.67567567567566
3FDLA,1,0,0.561397017050283,0.4386029859299493,75.67567567567566
3FDLA,1,1,0.7021595546951036,0.2978404473538061,75.67567567567566
3FDLA,0,0,0.8913372819906054,0.10866271074507836,75.67567567567566
3FDLA,0,1,0.4951808332813655,0.5048191752868021,75.67567567567566
3FDLA,0,0,0.3442350610919299,0.6557649418883024,75.67567567567566
3GXDB,1,1,0.3108634681527099,0.6891365348275224,75.67567567567566
3GXDB,0,0,0.6334094200172781,0.3665905904135348,75.67567567567566
4HB2C,1,0,0.8220288941608673,0.1779710985748166,75.67567567567566
4HB2C,0,0,0.7514630620696217,0.24853693718532027,75.67567567567566
